FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970514;0400;18;;;
970514;0500;13;;;
970514;0600;13;;;
970514;0700;3;;;
970514;0800;4;;;
970514;0900;9;;;
970514;1000;19;;;
970514;1100;41;;;
970514;1200;55;;;
970514;1300;64;;;
970514;1400;72;;;
970514;1500;82;;;
970514;1600;68;;;
970514;1700;27;;;
970514;1800;4;;;
970514;1900;3;;;
970514;2000;2;;;
970514;2100;3;;;
970514;2200;2;;;
970514;2300;2;;;
970515;0000;1;;;
970515;0100;2;;;
970515;0200;6;;;
970515;0300;9;;;
970515;0400;11;;;
970515;0500;10;;;
970515;0600;3;;;
970515;0700;2;;;
970515;0800;3;;;
970515;0900;5;;;
970515;1000;22;;;
970515;1100;49;;;
970515;1200;69;;;
970515;1300;95;;;
970515;1400;110;;;
970515;1500;66;;;
970515;1600;36;;;
970515;1700;14;;;
970515;1800;2;;;
970515;1900;1;;;
970515;2000;1;;;
970515;2100;2;;;
970515;2200;2;;;
970515;2300;2;;;
970516;0000;2;;;
970516;0100;1;;;
970516;0200;1;;;
970516;0300;2;;;
970516;0400;6;;;
970516;0500;5;;;
970516;0600;2;;;
970516;0700;1;;;
970516;0800;1;;;
970516;0900;2;;;
970516;1000;11;;;
970516;1100;9;;;
970516;1200;13;;;
970516;1300;20;;;
970516;1400;;;;
970516;1500;15;;;
970516;1600;5;;;
970516;1700;2;;;
970516;1800;1;;;
970516;1900;1;;;
970516;2000;1;;;
970516;2100;1;;;
970516;2200;1;;;
970516;2300;1;;;
970517;0000;1;;;
970517;0100;1;;;
970517;0200;1;;;
970517;0300;1;;;
970517;0400;1;;;
970517;0500;1;;;
970517;0600;4;;;
970517;0700;3;;;
970517;0800;1;;;
970517;0900;1;;;
970517;1000;2;;;
970517;1100;3;;;
970517;1200;6;;;
970517;1300;7;;;
970517;1400;9;;;
970517;1500;9;;;
970517;1600;6;;;
970517;1700;2;;;
970517;1800;1;;;
970517;1900;1;;;
970517;2000;1;;;
970517;2100;1;;;
970517;2200;1;;;
970517;2300;6;;;
970518;0000;6;;;
970518;0100;14;;;
970518;0200;18;;;
970518;0300;13;;;
970518;0400;17;;;
970518;0500;20;;;
970518;0600;18;;;
970518;0700;17;;;
970518;0800;16;;;
970518;0900;16;;;
970518;1000;13;;;
970518;1100;7;;;
970518;1200;8;;;
970518;1300;3;;;
970518;1400;4;;;
970518;1500;3;;;
970518;1600;2;;;
970518;1700;5;;;
970518;1800;18;;;
970518;1900;23;;;
970518;2000;22;;;
970518;2100;26;;;
970518;2200;23;;;
970518;2300;9;;;
